fila_csv,motivo,ficha,establecimiento
314018,FICHA_NO_EXISTE,201141,2
314032,FICHA_NO_EXISTE,144224,2
314404,FICHA_NO_EXISTE,202094,2
315361,FICHA_NO_EXISTE,200755,2
315554,FICHA_NO_EXISTE,178311,2
315652,FICHA_NO_EXISTE,29488,2
316050,FICHA_NO_EXISTE,26536,3
317196,FICHA_NO_EXISTE,201141,2
319156,FICHA_NO_EXISTE,202332,2
319541,FICHA_NO_EXISTE,193928,2
320406,FICHA_NO_EXISTE,200679,2
321474,FICHA_NO_EXISTE,195616,2
321891,FICHA_NO_EXISTE,114884,1
322034,FICHA_NO_EXISTE,44644,2
322237,FICHA_NO_EXISTE,194854,2
322392,FICHA_NO_EXISTE,197267,2
322635,FICHA_NO_EXISTE,202429,2
322650,FICHA_NO_EXISTE,132187,3
